protein_id,homolog_group,st,embedding
257363_0:0001ba|Rickettsia_typhi_str._Wilmington.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.04699685 -0.00351216  0.00503719 ... -0.00688456  0.03654677
  0.08318607]"
1465811_0:000706|Cellulomonas_massiliensis.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.03317327  0.00376336  0.02464285 ...  0.01565064 -0.00460722
  0.02690757]"
1639118_0:000429|Mangrovibacterium_marinum.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.04782002  0.01738478 -0.00818116 ...  0.03940454  0.03384265
  0.07081357]"
2583814_0:000b93|Tamlana_fucoidanivorans.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.05612299  0.01551155 -0.00310062 ...  0.03508109  0.03754628
  0.07432596]"
1268622_0:000e3a|Acidovorax_sp._MR-S7.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.04547961  0.01083634  0.00945644 ...  0.0041981  -0.01987788
  0.06864326]"
235986_0:000929|Actinacidiphila_glaucinigra.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.03113698 -0.00836439  0.03418997 ...  0.00646114  0.0173743
  0.04026258]"
1548548_0:000b5e|Bradymonas_sediminis.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.0469278  -0.00392193  0.01857758 ...  0.00137953  0.04151794
  0.09364235]"
1566290_0:000729|Mesorhizobium_sp._NFR06.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.05493698  0.03373228  0.00683005 ...  0.00304834 -0.01756726
  0.07160334]"
1969806_0:0002d1|Acidibrevibacterium_fodinaquatile.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,[0.03404715 0.02136164 0.01098169 ... 0.00289105 0.00201036 0.05718351]
1096856_0:000ec4|Pseudonocardia_sp._EC080619-01.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.03154711 -0.00809848  0.02729621 ...  0.02527537 -0.01762109
  0.03899356]"
1500264_0:000dc0|Rhizobacter_sp._OV335.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.05261999  0.02861195  0.0126814  ...  0.00771107 -0.02667889
  0.06633871]"
2135658_0:000b4c|Sphingomonas_sp._PP-CE-1G-424.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.03885694  0.02366374  0.00791393 ...  0.01033117 -0.0170973
  0.06241348]"
1566358_0:00039c|Paenibacillus_sp._IHBB_10380.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.03194163 -0.0118291  -0.01635453 ...  0.00149712 -0.0015737
  0.05532765]"
2022548_0:0009c4|Virgibacillus_sp._7505.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.03636276 -0.03424511 -0.01376246 ...  0.02805164  0.00960761
  0.06297945]"
1349793_0:0006ad|Hydrogenophaga_taeniospiralis_CCUG_15921.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.04575204  0.0108004   0.00737241 ...  0.00357771 -0.01803404
  0.06904409]"
57043_0:000444|Microbacterium_esteraromaticum.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.0390071  -0.00853969  0.02301137 ...  0.02270556 -0.00857096
  0.04127637]"
28444_0:00007b|Herbidospora_cretacea.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.03877312  0.03902914  0.02321842 ... -0.00263715  0.02286133
 -0.01916   ]"
1120940_0:000f5c|Actinomadura_pelletieri_DSM_43383.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.03467347  0.02509987  0.01299162 ... -0.00442321  0.02234956
 -0.01573613]"
762983_0:0002a9|Succinatimonas_hippei_YIT_12066.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,[0.01946532 0.04092402 0.01801446 ... 0.02350103 0.07015577 0.02963356]
867900_0:000581|Cellulophaga_lytica_DSM_7489.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.06046665  0.06084133 -0.01415142 ...  0.01929004  0.04984407
  0.03676417]"
1259167_0:0006ff|Cryobacterium_sp._Hz9.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.03504378 -0.01732304 -0.00564665 ... -0.00509492  0.03012175
 -0.03504853]"
587909_0:001388|Amycolatopsis_arida.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.02791484  0.00225361  0.03042806 ...  0.01231644  0.03549772
 -0.01466936]"
337005_0:000840|Microcella_putealis.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.02813496 -0.03180754  0.00360382 ...  0.00910451  0.02718281
 -0.0220112 ]"
75385_0:000c88|Micropruina_glycogenica.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.02827552 -0.00759289  0.00864111 ...  0.01960752  0.04052635
 -0.02928441]"
517417_0:0001db|Chlorobaculum_parvum_NCIB_8327.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.02862205  0.02804144 -0.00403429 ...  0.01192546  0.03358224
  0.04288088]"
76636_0:000b15|Mycetocola_saprophilus.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.02907878 -0.04700385  0.00703445 ...  0.00482969  0.04676637
 -0.02171434]"
1736361_0:000bc5|Chryseobacterium_sp._Leaf394.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.0450359   0.04309449 -0.00318856 ...  0.02981416  0.06999636
  0.04021186]"
2303334_0:000494|Hymenobacter_sp._CCM_8763.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,[0.04529492 0.06230206 0.0193806  ... 0.03159761 0.03492695 0.04448695]
1849968_0:000659|Flavivirga_aquatica.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.06131369  0.07118108 -0.00830244 ...  0.01932674  0.05885925
  0.04159002]"
1491830_0:000a46|Metabacillus_mangrovi.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.02814726  0.05236807 -0.00625673 ...  0.03194658  0.06058175
  0.03835116]"
250_0:000e91|Chryseobacterium_gleum.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.05335839  0.05443857 -0.00059778 ...  0.03744856  0.06842066
  0.03615166]"
279828_1:000726|Microcella_alkaliphila.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.03555973 -0.02989398  0.00122567 ...  0.00728048  0.02463525
 -0.01966834]"
1354272_0:000d5f|Providencia_heimbachae_ATCC_35613.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.04231654  0.07984899  0.02901948 ... -0.01894914 -0.01840342
  0.04586423]"
1415402_0:0001fa|Kocuria_sp._36.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.03774804 -0.05271989 -0.00065417 ... -0.00215409  0.03292421
 -0.01501122]"
1616788_1:000ebc|Paenibacillus_bovis.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,"[ 0.02021577  0.067241   -0.02091008 ...  0.01589845  0.05824741
  0.05413153]"
662367_0:0005f5|Spirosoma_endophyticum.fasta,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid_synthase,0.9145,[0.04338251 0.05079488 0.0074617  ... 0.02882802 0.06505516 0.04993905]
1948890_0:000c6e|Rhodobacterales_bacterium.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.03471436  0.0204186  -0.00562281 ... -0.01231898 -0.00378894
  0.01983589]"
1255570_0:0006d4|Gulosibacter_sp._10.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.03247922 -0.00133468  0.00539371 ... -0.01369394  0.01241991
 -0.00229245]"
932213_0:0000d7|Serratia_sp._M24T3.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.04872251  0.02247185 -0.0232221  ... -0.02549905  0.00056837
  0.02896725]"
1138189_0:0015d8|Rhizobium_bangladeshense.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.04809568 -0.01887442  0.01435994 ... -0.00147053  0.06187264
  0.01840254]"
2497473_0:000404|Andreprevotia_sp._IGB-42.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.038753    0.00460553 -0.01001212 ... -0.01338183  0.03037901
  0.01263214]"
1547922_0:00064a|Piscinibacter_sakaiensis.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.04216482  0.04525649 -0.0015441  ... -0.0206622  -0.02236022
  0.00282974]"
1635173_0:0005c5|Tenacibaculum_holothuriorum.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.06993479  0.03277624 -0.02460032 ...  0.00688898  0.00919173
  0.02792093]"
305_0:000612|Ralstonia_solanacearum.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.04524005  0.01569712 -0.01311442 ... -0.0169111  -0.00980838
  0.03097364]"
61648_0:00085a|Kluyvera_intermedia.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.05766143  0.05695493 -0.01315617 ... -0.02207839 -0.01423928
  0.02332859]"
1720198_0:0005cc|Actinomyces_provencensis.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.0259439  -0.04568271  0.00818085 ... -0.00486142  0.01525026
  0.01024607]"
2585200_0:000176|Actinomadura_macrotermitis.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.03782843  0.0116517  -0.01342429 ... -0.00985929 -0.01844863
  0.00928582]"
1528106_0:000439|Thalassospira_australica.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.05047589  0.01448891 -0.02101209 ... -0.02288213 -0.00847205
  0.01251526]"
1803903_0:001610|Actinomadura_montaniterrae.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.04602692  0.01763868 -0.00790575 ... -0.01376819 -0.01962607
  0.00555273]"
1719126_0:000176|bacterium_endosymbiont_of_Pedicinus_badii.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.00047559  0.0127996  -0.05173776 ... -0.03938424  0.01273327
 -0.00208147]"
554344_0:000483|Pseudomonas_toyotomiensis.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.05178477  0.00294763 -0.02170408 ... -0.02771388  0.0061835
  0.02399535]"
1667024_0:00058c|Vibrio_algivorus.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.06318117  0.01920052 -0.01408016 ... -0.02905405  0.01199203
  0.04486657]"
82541_0:0004f3|Cupriavidus_gilardii.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.04719485  0.01504443 -0.0109181  ... -0.0228832  -0.00264074
  0.02152895]"
1864947_0:000065|Chitinophaga_rhizosphaerae.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.05976684  0.04074482 -0.01672541 ...  0.00850759  0.00986955
  0.02875263]"
1651082_0:0009df|Celeribacter_persicus.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.04428476  0.02218236 -0.01000169 ... -0.01279019 -0.00464747
  0.02484535]"
1461752_0:0001eb|Sphingobium_sp._Ant17.fasta,3-methyl-2-oxobutanoate_hydroxymethyltransferase,0.9646,"[ 0.0381274   0.01513852 -0.00398398 ... -0.01240099 -0.02022456
  0.03604089]"
1736275_0:000a03|Xanthomonas_sp._Leaf148.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,[0.08695415 0.00060252 0.01439631 ... 0.01097735 0.00264158 0.00588727]
1280949_0:000b7c|Hyphomonas_adhaerens_MHS-3.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.06597178  0.00762509  0.01193506 ... -0.00274187 -0.00017992
  0.02089946]"
1938751_0:00133b|Cohnella_sp._SGD-V74.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.08734593  0.01533832 -0.01950116 ... -0.00366292  0.03794551
  0.00481366]"
1177982_0:000338|Paracidovorax_wautersii.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.08440747  0.00820353 -0.00444812 ... -0.00682854 -0.00060704
  0.01728681]"
2108360_0:0003de|Microvirga_tunisiensis.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.05135597  0.01086465  0.00774561 ...  0.00163866 -0.0293524
 -0.02126368]"
1211706_0:00038c|Paenisporosarcina_sp._TG20.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.08875086  0.00509754 -0.01526832 ... -0.00489516  0.03110977
 -0.00925793]"
294_26:001217|Pseudomonas_fluorescens.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.11046436  0.03267055  0.01176044 ... -0.02189707 -0.03629281
 -0.00565927]"
1705394_0:0004a5|Candidatus_Thioglobus_autotrophicus.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.10417925  0.01732192 -0.00072288 ... -0.01530989  0.00567553
  0.03681706]"
126741_0:00009a|Thermotoga_sp._KOL6.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.10030453 -0.05935677  0.0198465  ...  0.02713927  0.02867282
  0.01950754]"
1903952_0:000636|Photobacterium_proteolyticum.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.12386931  0.02765174 -0.00073156 ... -0.0181489  -0.02392304
  0.00585543]"
1857217_0:000b89|Enterococcus_sp._JM4C.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.07916811  0.00541444 -0.01344823 ...  0.00616772  0.03895478
 -0.00568487]"
2364273_0:000868|Geomonas_oryzae.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.1219124   0.02829842  0.01272781 ... -0.01609256  0.03980024
  0.0066222 ]"
1073351_0:000bf7|Bacteroides_stercoris_CC31F.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.12371793  0.02335319 -0.00501881 ...  0.00809049  0.05132648
  0.01410668]"
1410653_0:00038d|Clostridium_lundense_DSM_17049.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 1.1180396e-01  3.2222568e-05 -2.4259195e-02 ...  5.4667261e-04
  4.3751325e-02  9.2947781e-03]"
563040_0:0004f6|Sulfurimonas_autotrophica_DSM_16294.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.06327237 -0.09171918 -0.01327346 ... -0.02231924  0.04563202
  0.01903764]"
1917973_0:000262|Sphingomonas_sp._TZW2008.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.06596798  0.00710477  0.00602885 ...  0.00137323 -0.00703327
  0.00243013]"
28031_0:000dae|Lysinibacillus_fusiformis.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.10820246 -0.00048963 -0.02145753 ...  0.01040626  0.02939979
 -0.00465521]"
1368476_0:0004c8|Lysinibacillus_halotolerans.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.10322805  0.00174431 -0.02125321 ...  0.00289789  0.03711308
 -0.0010177 ]"
121821_0:00033d|Roseinatronobacter_thiooxidans.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.08744372  0.00940907  0.03412157 ...  0.00034781  0.00505673
 -0.00575236]"
110663_0:0004ef|Synechococcus_sp._CC9616.fasta,4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,0.9351,"[ 0.0973198   0.00070198 -0.01701562 ... -0.02464808  0.01450664
  0.00327823]"
1096856_0:000f8b|Pseudonocardia_sp._EC080619-01.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.0678564   0.03757574  0.00981835 ...  0.04446726 -0.03761724
 -0.0004299 ]"
639004_0:0009bf|Ruegeria_marina.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.04815395  0.03354089 -0.00626887 ...  0.03243703 -0.01919472
  0.01282836]"
1352374_0:000816|Ruminococcus_sp._YE78.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.05727892 -0.00845797  0.02259708 ...  0.00855803  0.0468665
  0.03387012]"
